"name","brand","ean","price","grammage","category","sale","image"
"Biozentrale Bio Grünkern 500g","biozentrale","4005009105479","4.29","500g (1 kg = 8,58 €)","Kochen & Backen","False","https://img.rewe-static.de/1099782/23478524_digital-image.png"
"Dr. Oetker Backmischung Konfetti Muffins 360g","Dr. Oetker","4000521034627","3.29","360g","Kochen & Backen","False","https://img.rewe-static.de/7667422/41732805_digital-image.png"
"Dr. Oetker High Protein Grieß 65g","Dr. Oetker","4000521029500","1.19","95g (1 kg = 12,53 €)","Kochen & Backen","True","https://img.rewe-static.de/8715120/34657115_digital-image.png"
"Sweet Family Nordzucker Brauner Kandis 500g","Sweet Family","4008671071004","2.39","500g (1 kg = 4,78 €)","Kochen & Backen","False","https://img.rewe-static.de/0232408/22635167_digital-image.png"
"Ostmann Vanille Aroma 20ml","Ostmann","4002674316193","2.29","20ml (1 l = 114,50 €)","Kochen & Backen","False","https://img.rewe-static.de/0567744/7472290_digital-image.png"
"Schultz & König 5-Kalorien-Nudeln aus Algen 250g","None","4280001197213","3.49","250g (1 kg = 13,96 €)","Kochen & Backen","False","https://img.rewe-static.de/8109268/30278232_digital-image.png"
"Decocino Essbare Zuckeraugen 25g","Decocino","4250448317116","2.99","25g (1 kg = 119,60 €)","Kochen & Backen","False","https://img.rewe-static.de/2277007/25664978_digital-image.png"
"Dr. Oetker TortenCreme Schoko-Sahne mit Schokoflocken 150g","Dr. Oetker","4000521034375","1.79","150g (1 kg = 11,93 €)","Kochen & Backen","False","https://img.rewe-static.de/9003717/41393239_digital-image.png"
"Dr. Oetker LoVE it! Süßer Reis vegan 51g","Dr. Oetker","4000521031565","1.29","51g (1 kg = 25,29 €)","Kochen & Backen","False","https://img.rewe-static.de/8975503/40415885_digital-image.png"
"Just Taste Bio Edamame Spaghetti 250g","None","4260651480019","3.29","250g (1 kg = 13,16 €)","Kochen & Backen","False","https://img.rewe-static.de/8392813/30389556_digital-image.png"
"Dr. Oetker LoVE it! Muffins Haselnuss Backmischung vegan 435g","Dr. Oetker","4000521032364","3.79","435g (1 kg = 8,71 €)","Kochen & Backen","False","https://img.rewe-static.de/8780211/37779153_digital-image.png"
"REWE Beste Wahl Weisser Fondant ohne Palmöl 250g","REWE Beste Wahl","4337256230919","1.69","250g (1 kg = 6,76 €)","Kochen & Backen","False","https://img.rewe-static.de/8415176/31099220_digital-image.png"
